# energy grid [eV]     JDOS [1/eV]
#
    0.000000000    0.000000000
    0.010010010    0.000000000
    0.020020020    0.000000000
    0.030030030    0.000000000
    0.040040040    0.000000000
    0.050050050    0.000000000
    0.060060060    0.000000000
    0.070070070    0.000000000
    0.080080080    0.000000000
    0.090090090    0.000000000
    0.100100100    0.000000000
    0.110110110    0.000000000
    0.120120120    0.000000000
    0.130130130    0.000000000
    0.140140140    0.000000000
    0.150150150    0.000000000
    0.160160160    0.000000000
    0.170170170    0.000000000
    0.180180180    0.000000000
    0.190190190    0.000000000
    0.200200200    0.000000000
    0.210210210    0.000000000
    0.220220220    0.000000000
    0.230230230    0.000000000
    0.240240240    0.000000000
    0.250250250    0.000000000
    0.260260260    0.000000000
    0.270270270    0.000000000
    0.280280280    0.000000000
    0.290290290    0.000000000
    0.300300300    0.000000000
    0.310310310    0.000000000
    0.320320320    0.000000000
    0.330330330    0.000000000
    0.340340340    0.000000000
    0.350350350    0.000000000
    0.360360360    0.000000000
    0.370370370    0.000000000
    0.380380380    0.000000000
    0.390390390    0.000000000
    0.400400400    0.000000000
    0.410410410    0.000000000
    0.420420420    0.000000000
    0.430430430    0.000000000
    0.440440440    0.000000000
    0.450450450    0.000000000
    0.460460460    0.000000000
    0.470470470    0.000000000
    0.480480480    0.000000000
    0.490490490    0.000000000
    0.500500501    0.000000000
    0.510510511    0.000000000
    0.520520521    0.000000000
    0.530530531    0.000000000
    0.540540541    0.000000000
    0.550550551    0.000000000
    0.560560561    0.000000000
    0.570570571    0.000000000
    0.580580581    0.000000000
    0.590590591    0.000000000
    0.600600601    0.000000000
    0.610610611    0.000000000
    0.620620621    0.000000000
    0.630630631    0.000000000
    0.640640641    0.000000000
    0.650650651    0.000000000
    0.660660661    0.000000000
    0.670670671    0.000000000
    0.680680681    0.000000000
    0.690690691    0.000000000
    0.700700701    0.000000000
    0.710710711    0.000000000
    0.720720721    0.000000000
    0.730730731    0.000000000
    0.740740741    0.000000000
    0.750750751    0.000000000
    0.760760761    0.000000000
    0.770770771    0.000000000
    0.780780781    0.000000000
    0.790790791    0.000000000
    0.800800801    0.000000000
    0.810810811    0.000000000
    0.820820821    0.000000000
    0.830830831    0.000000000
    0.840840841    0.000000000
    0.850850851    0.000000000
    0.860860861    0.000000000
    0.870870871    0.000000000
    0.880880881    0.000000000
    0.890890891    0.000000000
    0.900900901    0.000000000
    0.910910911    0.000000000
    0.920920921    0.000000000
    0.930930931    0.000000000
    0.940940941    0.000000000
    0.950950951    0.000000000
    0.960960961    0.000000000
    0.970970971    0.000000000
    0.980980981    0.000000000
    0.990990991    0.000000000
    1.001001001    0.000000000
    1.011011011    0.000000000
    1.021021021    0.000000000
    1.031031031    0.000000000
    1.041041041    0.000000000
    1.051051051    0.000000000
    1.061061061    0.000000000
    1.071071071    0.000000000
    1.081081081    0.000000000
    1.091091091    0.000000000
    1.101101101    0.000000000
    1.111111111    0.000000000
    1.121121121    0.000000000
    1.131131131    0.000000000
    1.141141141    0.000000000
    1.151151151    0.000000000
    1.161161161    0.000000000
    1.171171171    0.000000000
    1.181181181    0.000000000
    1.191191191    0.000000000
    1.201201201    0.000000000
    1.211211211    0.000000000
    1.221221221    0.000000000
